id,YEAR,STATEICP,STATEFIP,COUNTYICP,SEX,MARST,BIRTHYR,RACE,RACED,BPL,BPLD,NATIVITY,CITIZEN,EDUC,EDUCD,EMPSTAT,EMPSTATD,LABFORCE,OCC1950,INCTOT,INCWAGE,INCBUSFM,OCCSCORE,BPL_MOM,BPL_POP,BPL_MOM2,BPL_POP2,BPLD_MOM,BPLD_POP,BPLD_MOM2,BPLD_POP2,NATIVITY_MOM,NATIVITY_POP,NATIVITY_SP,NATIVITY_MOM2,NATIVITY_POP2,married,foreign,college,employed,female
3667,1940,71,6,750,2,6,1936,4,400,6,600,0,0,0,2,0,0,0,999,NA,NA,NA,0,500,500,NA,NA,50000,50000,NA,NA,0,0,NA,NA,NA,0,0,0,0,1
5459,1940,71,6,750,2,1,1899,4,400,500,50000,0,5,2,23,3,31,1,999,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,0,0,0,1
10830,1940,67,49,570,1,1,1900,5,500,501,50100,0,3,2,26,1,10,2,100,NA,0,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,0,0,1,0
4854,1940,24,39,350,1,1,1903,4,400,39,3900,0,0,2,26,1,10,2,205,NA,0,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,0,0,1,0
7477,1940,71,6,750,2,1,1908,4,400,500,50000,0,3,1,17,3,31,1,999,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,0,0,0,1
9770,1940,71,6,850,2,6,1932,5,500,6,600,4,0,1,16,0,0,0,999,NA,NA,NA,0,501,501,NA,NA,50100,50100,NA,NA,0,0,NA,NA,NA,0,0,0,0,1
6488,1940,53,40,1470,2,6,1934,4,400,40,4000,0,0,0,2,0,0,0,999,NA,NA,NA,0,15,15,NA,NA,1500,1500,NA,NA,0,0,NA,NA,NA,0,0,0,0,1
7838,1940,13,36,610,2,6,1928,4,400,36,3600,0,0,2,25,0,0,0,999,NA,NA,NA,0,500,6,NA,NA,50000,600,NA,NA,0,0,NA,NA,NA,0,0,0,0,1
10255,1940,63,16,650,1,1,1889,5,500,501,50100,0,3,99,999,1,10,2,100,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,0,0,1,0
978,1940,73,53,770,1,6,1933,5,500,53,5300,0,0,1,15,0,0,0,999,NA,NA,NA,0,501,501,NA,NA,50100,50100,NA,NA,0,0,NA,NA,NA,0,0,0,0,0
4895,1940,13,36,610,2,6,1924,4,400,700,70010,0,3,4,40,3,33,1,999,NA,NA,NA,0,500,500,NA,NA,50000,50000,NA,NA,0,0,NA,NA,NA,0,0,0,0,1
6236,1940,12,34,130,1,6,1936,4,400,34,3400,0,0,99,999,0,0,0,999,NA,NA,NA,0,500,500,NA,NA,50000,50000,NA,NA,0,0,NA,NA,NA,0,0,0,0,0
2899,1940,71,6,810,1,1,1889,5,500,501,50100,0,3,2,26,1,10,2,930,NA,0,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,0,0,1,0
7377,1940,13,36,610,2,1,1913,4,400,24,2400,0,0,6,60,1,10,2,999,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,0,0,1,1
2890,1940,24,39,610,1,6,1896,4,400,500,50000,0,3,99,999,1,10,2,643,NA,0,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0
4482,1940,71,6,750,2,6,1934,4,400,6,600,0,0,1,14,0,0,0,999,NA,NA,NA,0,500,500,NA,NA,50000,50000,NA,NA,0,5,NA,NA,NA,0,0,0,0,1
10365,1940,71,6,370,2,6,1939,5,500,6,600,1,0,0,2,0,0,0,999,NA,NA,NA,0,15,15,NA,NA,1500,1500,NA,NA,0,0,NA,NA,NA,0,0,0,0,1
7267,1940,71,6,770,2,5,1895,5,500,501,50100,0,3,2,26,1,10,2,830,NA,0,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1
2139,1940,61,4,130,2,6,1932,4,400,4,400,0,0,1,15,0,0,0,999,NA,NA,NA,0,4,500,NA,NA,400,50000,NA,NA,0,0,NA,NA,NA,0,0,0,0,1
2476,1940,71,6,670,2,1,1910,5,500,501,50100,0,5,6,60,3,31,1,999,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,0,0,0,1
9595,1940,13,36,610,2,6,1934,4,400,36,3600,0,0,1,14,0,0,0,999,NA,NA,NA,0,500,500,NA,NA,50000,50000,NA,NA,0,0,NA,NA,NA,0,0,0,0,1
10927,1940,61,4,130,2,1,1909,4,400,500,50000,0,2,2,26,1,10,2,490,NA,0,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,0,0,1,1
1304,1940,71,6,10,2,1,1908,4,400,500,50000,0,3,4,40,1,10,2,690,NA,300,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,0,0,1,1
5350,1940,71,6,850,2,1,1890,5,500,501,50100,0,3,2,26,1,10,2,830,NA,0,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,0,0,1,1
10237,1940,63,16,10,2,6,1937,4,400,16,1600,0,0,0,2,0,0,0,999,NA,NA,NA,0,500,500,NA,NA,50000,50000,NA,NA,0,0,NA,NA,NA,0,0,0,0,1
5016,1940,71,6,850,1,6,1931,5,500,6,600,0,0,1,16,0,0,0,999,NA,NA,NA,0,501,501,NA,NA,50100,50100,NA,NA,0,0,NA,NA,NA,0,0,0,0,0
5072,1940,13,36,610,2,1,1919,4,400,9,900,0,0,6,60,3,31,1,999,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,0,0,0,1
1833,1940,71,6,1150,2,1,1892,5,500,501,50100,0,3,2,26,3,31,1,999,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,1,0,0,0,1
5165,1940,71,6,370,1,6,1919,4,400,500,50000,0,3,6,60,1,10,2,342,NA,240,NA,26,500,500,NA,NA,50000,50000,NA,NA,5,0,NA,NA,NA,0,0,0,1,0
2208,1940,71,6,770,1,6,1933,4,400,6,600,0,0,0,2,0,0,0,999,NA,NA,NA,0,500,500,NA,NA,50000,50000,NA,NA,0,0,NA,NA,NA,0,0,0,0,0
5660,1940,3,25,170,2,6,1927,4,400,25,2500,0,0,1,17,0,0,0,999,NA,NA,NA,0,500,500,NA,NA,50000,50000,NA,NA,0,0,NA,NA,NA,0,0,0,0,1
4857,1940,72,41,510,2,6,1926,5,500,41,4100,0,0,2,25,3,33,1,999,NA,0,NA,0,501,501,NA,NA,50100,50100,NA,NA,0,0,NA,NA,NA,0,0,0,0,1
3913,1940,72,41,70,1,6,1936,4,400,53,5300,0,0,99,999,0,0,0,999,NA,NA,NA,0,15,500,NA,NA,1500,50000,NA,NA,0,0,NA,NA,NA,0,0,0,0,0
8596,1940,71,6,990,1,1,1880,5,500,501,50100,0,3,6,60,1,10,2,820,NA,600,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,0,0,1,0
3495,1940,41,1,970,2,6,1924,5,500,1,100,0,0,5,50,3,32,1,999,NA,0,NA,0,501,501,NA,NA,50100,50100,NA,NA,0,0,NA,NA,NA,0,0,0,0,1
8436,1940,71,6,250,2,1,1896,5,500,501,50100,0,3,7,70,3,31,1,999,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,0,1,0,1
