STATEFIP_1940,COUNTYICP_1940,ENUMDIST,CITY_1940,SEX_1940,MARST_1940,BIRTHYR_1940,RACE_1940,LABFORCE_1940,INCWAGE_1940,OCC1950_1940,EDUC_1940,CITIZEN_1940,NATIVITY_1940,NATIVITY_MOM_1940,NATIVITY_POP_1940,step_1940,STATEFIP_1950,COUNTYICP_1950,CITY_1950,SEX_1950,MARST_1950,BIRTHYR_1950,RACE_1950,LABFORCE_1950,INCWAGE_1950,INCTOT,OCC1950_1950,EDUC_1950,CITIZEN_1950,NATIVITY_1950,NATIVITY_MOM_1950,NATIVITY_POP_1950,step_1950
6,370,6006960,3730,1,1,1904,5,2,1150,490,6,3,0,NA,NA,2,6,370,0,1,1,1904,5,2,999999,9999999,790,0,3,0,NA,NA,2
6,370,6006960,3730,1,6,1937,5,0,999999,999,0,0,0,0,0,2,6,370,0,1,6,1937,5,0,999999,9999999,979,2,0,2,0,0,2
6,370,6006970,3730,1,1,1888,5,2,1248,770,1,3,0,NA,NA,2,6,370,3730,1,1,1890,5,2,999999,9999999,770,0,3,0,NA,NA,2
6,370,6006970,3730,2,6,1935,5,0,999999,999,0,0,0,0,0,2,6,370,3730,2,6,1935,5,1,0,0,999,4,0,2,0,0,2
6,370,6006970,3730,1,1,1906,5,2,1300,260,10,3,0,NA,NA,1,6,730,0,1,1,1906,5,2,999999,9999999,820,0,3,0,NA,NA,1
6,370,6006980,3730,2,1,1917,5,1,0,982,6,3,0,NA,NA,2,6,370,0,2,1,1917,5,2,350,350,490,6,3,5,NA,NA,2
6,370,6006980,3730,1,1,1900,5,2,0,290,2,3,0,NA,NA,2,6,370,3730,1,1,1901,5,2,5050,7750,490,2,3,5,NA,NA,2
6,370,6006980,3730,2,1,1906,5,1,0,982,2,3,0,NA,NA,2,6,370,3730,2,1,1906,5,1,999999,9999999,999,0,3,0,NA,NA,2
6,370,6006980,3730,1,1,1888,5,2,0,754,2,3,0,NA,NA,2,6,370,3730,1,1,1891,5,1,999999,9999999,999,0,3,0,NA,NA,2
6,370,6006980,3730,2,1,1896,5,1,0,982,1,3,0,NA,NA,2,6,370,3730,2,1,1896,5,1,0,0,999,3,3,5,NA,NA,2
6,370,6006990,3730,1,1,1901,5,2,1500,683,6,3,0,NA,NA,1,6,370,3730,1,1,1901,5,2,999999,9999999,930,0,3,0,NA,NA,1
6,370,6006990,3730,1,6,1938,5,0,999999,999,0,0,2,0,0,2,6,370,3730,1,6,1939,5,9,999999,9999999,999,2,0,2,0,0,2
6,370,6006990,3730,1,1,1890,5,2,1200,490,9,3,0,NA,NA,2,6,370,3730,1,1,1891,5,2,999999,9999999,930,0,3,0,NA,NA,2
6,370,6006990,3730,2,1,1901,5,1,0,999,6,3,0,NA,NA,2,6,370,3730,2,1,1902,5,2,650,650,690,6,3,5,NA,NA,2
6,370,6006990,3730,2,6,1934,5,0,999999,999,0,0,0,0,0,2,6,370,3690,2,6,1934,5,1,0,0,999,3,0,2,0,NA,2
6,370,6007010,3730,1,1,1888,5,2,0,290,2,3,0,NA,NA,2,6,370,3730,1,1,1887,5,2,0,4550,290,6,3,5,NA,NA,2
6,370,6007010,3730,2,1,1902,5,1,0,999,2,3,0,NA,NA,2,6,370,3730,2,1,1903,5,1,999999,9999999,999,0,3,0,NA,NA,2
6,370,6007010,3730,1,1,1901,5,2,0,99,6,0,0,0,NA,1,8,310,1710,1,1,1901,5,2,999999,9999999,390,0,0,0,0,NA,1
6,370,6007010,3730,2,1,1909,5,1,0,350,8,0,0,NA,NA,2,8,310,1710,2,1,1909,5,1,999999,9999999,999,0,0,0,NA,NA,2
