prev_address,state,county,city,NHGISST,NHGISCTY,ICPSRFIP,STATEFIP,COUNTYICP
13282,California,Nevada,Grass Valley,060,0570,6057,6,570
13290,California,Placer,NA,060,0610,6061,6,610
13291,California,Placer,Auburn,060,0610,6061,6,610
13292,California,Placer,Roseville,060,0610,6061,6,610
13310,California,Butte,NA,060,0070,6007,6,70
13311,California,Butte,Oroville,060,0070,6007,6,70
13312,California,Butte,Chico,060,0070,6007,6,70
13320,California,Colusa,NA,060,0110,6011,6,110
13330,California,Glenn,NA,060,0210,6021,6,210
13340,California,Sutter,NA,060,1010,6101,6,1010
13341,California,Sutter,Yuba City,060,1010,6101,6,1010
13350,California,Tehama,NA,060,1030,6103,6,1030
13351,California,Tehama,Red Bluff,060,1030,6103,6,1030
13360,California,Yolo,Davis/Winters,060,1130,6113,6,1130
13362,California,Yolo,Woodland,060,1130,6113,6,1130
13370,California,Yuba,Wheatland,060,1150,6115,6,1150
13372,California,Yuba,Marysville,060,1150,6115,6,1150
13410,California,Monterey,NA,060,0530,6053,6,530
13411,California,Monterey,Carmel-by-the-sea,060,0530,6053,6,530
13412,California,Monterey,Pacific Grove,060,0530,6053,6,530
13413,California,Monterey,Monterey/Salinas,060,0530,6053,6,530
13414,California,Monterey,NA,060,0530,6053,6,530
13415,California,Monterey,NA,060,0530,6053,6,530
13420,California,San Benito,NA,060,0690,6069,6,690
13421,California,San Benito,Hollister,060,0690,6069,6,690
13430,California,San Luis Obispo,NA,060,0790,6079,6,790
13431,California,San Luis Obispo,Paso Robles,060,0790,6079,6,790
13432,California,San Luis Obispo,San Luis Obisbo,060,0790,6079,6,790
13440,California,Santa Cruz,NA,060,0870,6087,6,870
13442,California,Santa Cruz,Watsonville,060,0870,6087,6,870
13443,California,Santa Cruz,Santa Cruz,060,0870,6087,6,870
13510,California,Fresno,NA,060,0190,6019,6,190
13511,California,Fresno,NA,060,0190,6019,6,190
13512,California,Fresno,Coalinga,060,0190,6019,6,190
13513,California,Fresno,NA,060,0190,6019,6,190
13514,California,Fresno,Fresno,060,0190,6019,6,190
13520,California,Kern,NA,060,0290,6029,6,290
13521,California,Kern,Delano,060,0290,6029,6,290
13524,California,Kern,Bakersfield,060,0290,6029,6,290
13530,California,Kings,NA,060,0310,6031,6,310
13532,California,Kings,NA,060,0310,6031,6,310
13533,California,Kings,NA,060,0310,6031,6,310
13540,California,Madera,NA,060,0390,6039,6,390
13542,California,Madera,Madera,060,0390,6039,6,390
13544,California,Madera,NA,060,0390,6039,6,390
13550,California,Merced,NA,060,0470,6047,6,470
13553,California,Merced,Merced,060,0470,6047,6,470
13560,California,San Joaquin,Manteca,060,0770,6077,6,770
13561,California,San Joaquin,Tracy,060,0770,6077,6,770
13563,California,San Joaquin,Lodi,060,0770,6077,6,770
13564,California,San Joaquin,Stockton,060,0770,6077,6,770
13569,California,San Joaquin,NA,060,0770,6077,6,770
13570,California,Stanislaus,NA,060,0990,6099,6,990
13571,California,Stanislaus,NA,060,0990,6099,6,990
13573,California,Stanislaus,Modesto,060,0990,6099,6,990
13580,California,Tulare,NA,060,1070,6107,6,1070
13581,California,Tulare,NA,060,1070,6107,6,1070
13582,California,Tulare,NA,060,1070,6107,6,1070
13584,California,Tulare,NA,060,1070,6107,6,1070
13610,California,Santa Barbara,NA,060,0830,6083,6,830
13611,California,Santa Barbara,NA,060,0830,6083,6,830
13612,California,Santa Barbara,Santa Maria,060,0830,6083,6,830
13614,California,Santa Barbara,Santa Barbara,060,0830,6083,6,830
13620,California,Ventura,NA,060,1110,6111,6,1110
13621,California,Ventura,Filmore,060,1110,6111,6,1110
13622,California,Ventura,NA,060,1110,6111,6,1110
13623,California,Ventura,Beuenaventura,060,1110,6111,6,1110
13710,California,Imperial,NA,060,0250,6025,6,250
13711,California,Imperial,NA,060,0250,6025,6,250
13712,California,Imperial,Calexico,060,0250,6025,6,250
