prev_address, state, county, city
5-014, Virginia, "Norfolk", "Norfolk"
5-023, Virginia, "Suffolk City", "Suffolk"
53014, Florida, "Pinellas", "St. Petersburg"
57014, New York, "Dutchess", "Poughkeepsie"
57024, New York, "Chemung", "Elmira"
57025, New York, "Chemung", "Elmira"
57035, New York, NA, "New York"
5900&, Pennsylvania, "Lackawanna", "Carbondale"
59014, Pennsylvania, "York", "York"
59025, Pennsylvania, "Philadelphia", "Philadelphia"
70--&, Hawaii, NA, NA
70--0, Hawaii, NA, NA
71--&, Hawaii, "Hawaii",
71--0, Hawaii, "Hawaii",
71--1, Hawaii, "Hawaii",
71--2, Hawaii, "Hawaii",
71--3, Hawaii, "Hawaii",
71--4, Hawaii, "Hawaii",
72--&, Hawaii, "Honolulu",
72--0, Hawaii, "Honolulu",
72--1, Hawaii, "Honolulu",
72--2, Hawaii, "Honolulu",
72--4, Hawaii, "Honolulu",
72--5, Hawaii, "Honolulu",
73&&0, Hawaii, "Kauai",
73--0, Hawaii, "Kauai",
73--1, Hawaii, "Kauai",
73--2, Hawaii, "Kauai",
73--3, Hawaii, "Kauai",
73--4, Hawaii, "Kauai",
74--&, Hawaii, "Maui",
74--0, Hawaii, "Maui",
74--1, Hawaii, "Maui",
74--2, Hawaii, "Maui",
74--4, Hawaii, "Maui",
81&&&, Hawaii, NA, NA
81--2, Hawaii, NA, NA
81010, Alaska, "First Judicial Dist", NA
81011, Alaska, "First Judicial Dist", "Ketchikan"
81012, Alaska, "First Judicial Dist", "Juneau"
81020, Alaska, "Second Judicial Dist", NA
81030, Alaska, "Third Judicial Dist", NA
81031, Alaska, "Third Judicial Dist", "Anchorage"
81032, Alaska, "Third Judicial Dist", NA
81033, Alaska, "Third Judicial Dist", NA
81040, Alaska, "Fourth Judicial Dist", NA
81041, Alaska, "Fourth Judicial Dist", "Fairbanks"
82&&4, British Columbia, "Vancouver"
A3814, NA, NA, NA
B13-1, NA, NA, NA
NA,    NA, NA, NA
