state,county,NHGISST,NHGISCTY,sex,birthyr,birthplace,n_z_I,p_z_I,STATEFIP,COUNTYICP,n_z,p_z,pr_intern
Arizona,Maricopa,040,0130,1,1921,13,2,1.845495146347765e-5,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1922,13,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1922,26,3,2.768242719521648e-5,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1923,13,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1923,23,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1923,26,2,1.845495146347765e-5,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1924,13,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1924,26,3,2.768242719521648e-5,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1925,26,3,2.768242719521648e-5,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1926,13,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1926,26,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1926,96,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1927,13,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1927,26,4,3.69099029269553e-5,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1928,25,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1929,13,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1929,26,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1930,13,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1930,26,4,3.69099029269553e-5,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1931,26,4,3.69099029269553e-5,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1932,13,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1932,26,3,2.768242719521648e-5,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1933,13,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1934,26,7,6.459233012217178e-5,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1936,26,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1937,26,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1938,26,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1939,13,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1939,26,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1940,13,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1940,26,3,2.768242719521648e-5,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1941,26,2,1.845495146347765e-5,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,2,1878,96,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,2,1882,93,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,2,1886,98,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,2,1887,93,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,2,1888,99,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,2,1889,96,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,2,1892,96,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,2,1892,98,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,2,1892,99,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,2,1893,93,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,2,1895,97,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,2,1895,99,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,2,1896,96,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,2,1897,95,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,2,1898,93,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,2,1899,98,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,2,1899,99,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,2,1900,93,2,1.845495146347765e-5,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,2,1900,95,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,2,1900,96,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,2,1901,26,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,2,1901,98,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,2,1901,99,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,2,1902,96,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,2,1903,96,2,1.845495146347765e-5,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,2,1904,93,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,2,1905,26,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,2,1905,96,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,2,1908,96,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,2,1909,13,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,2,1913,13,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,2,1915,13,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,2,1917,13,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,2,1918,21,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,2,1918,23,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,2,1918,26,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,2,1919,26,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,2,1920,11,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,2,1920,12,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,2,1920,13,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,2,1920,26,3,2.768242719521648e-5,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,2,1921,25,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,2,1921,26,4,3.69099029269553e-5,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,2,1922,13,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,2,1922,26,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,2,1923,13,2,1.845495146347765e-5,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,2,1923,26,4,3.69099029269553e-5,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,2,1924,13,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,2,1924,25,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,2,1924,26,2,1.845495146347765e-5,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,2,1925,13,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,2,1925,26,3,2.768242719521648e-5,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,2,1925,27,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,2,1926,13,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,2,1926,26,2,1.845495146347765e-5,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,2,1927,26,5,4.613737865869413e-5,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,2,1928,13,2,1.845495146347765e-5,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,2,1928,26,3,2.768242719521648e-5,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,2,1928,27,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,2,1929,13,1,9.227475731738825e-6,NA,NA,NA,NA,NA
