Year,NHGISST,NHGISCTY,STATENAM,NHGISNAM,ICPSRST,ICPSRCTY,area_base,NHGISST_1950,NHGISCTY_1950,STATENAM_1950,NHGISNAM_1950,ICPSRST_1950,ICPSRCTY_1950,area,weight,US_STATE
1940,390,0190,Ohio,Carroll,24,190,1033230091.75558,390,0190,Ohio,Carroll,24,190,1033230091.7555784,1.0,1
1940,390,1510,Ohio,Stark,24,1510,1503526023.3097308,390,1510,Ohio,Stark,24,1510,1503526023.3097293,1.0,1
1940,390,1570,Ohio,Tuscarawas,24,1570,1480062853.891468,390,1570,Ohio,Tuscarawas,24,1570,1480062853.8914661,1.0,1
1940,470,0530,Tennessee,Gibson,54,530,1563456980.0555894,470,0530,Tennessee,Gibson,54,530,1563456980.0555894,1.0,1
1940,470,0770,Tennessee,Henderson,54,770,1362031854.0150003,470,0770,Tennessee,Henderson,54,770,1362031854.0149982,1.0,1
1940,470,1130,Tennessee,Madison,54,1130,1446839340.0146978,470,1130,Tennessee,Madison,54,1130,1446839340.0146968,1.0,1
1940,470,1830,Tennessee,Weakley,54,1830,1506647866.0901098,470,1830,Tennessee,Weakley,54,1830,1506647866.0901046,1.0,1
1940,510,0350,Virginia,Carroll,40,350,1249322023.6044056,510,0350,Virginia,Carroll,40,350,1249322023.6044087,1.0,1
1940,510,0630,Virginia,Floyd,40,630,987554516.6549784,510,0630,Virginia,Floyd,40,630,987554516.6549792,1.0,1
1940,510,1410,Virginia,Patrick,40,1410,1258364730.9630368,510,1410,Virginia,Patrick,40,1410,1258364730.9630368,1.0,1
1940,480,2330,Texas,Hutchinson,49,2330,2317915758.754839,480,2330,Texas,Hutchinson,49,2330,2317915758.7548337,1.0,1
1940,480,3410,Texas,Moore,49,3410,2355907076.0445633,480,3410,Texas,Moore,49,3410,2355907076.0445623,1.0,1
1940,480,3930,Texas,Roberts,49,3930,2393645565.1859765,480,3930,Texas,Roberts,49,3930,2393645565.185976,1.0,1
1940,210,0630,Kentucky,Elliott,51,630,609444503.3677851,210,0630,Kentucky,Elliott,51,630,609444503.3677851,1.0,1
1940,290,1490,Missouri,Oregon,34,1490,2050101533.1629667,290,1490,Missouri,Oregon,34,1490,2050101533.1629674,1.0,1
1940,290,1790,Missouri,Reynolds,34,1790,2109316631.4606092,290,1790,Missouri,Reynolds,34,1790,2109316631.4606125,1.0,1
1940,290,2030,Missouri,Shannon,34,2030,2600622895.2811747,290,2030,Missouri,Shannon,34,2030,2600622895.281185,1.0,1
1940,300,0170,Montana,Custer,64,170,9824212511.732578,300,0170,Montana,Custer,64,170,9824212511.732548,1.0,1
1940,400,0190,Oklahoma,Carter,53,190,2159474440.0386314,400,0190,Oklahoma,Carter,53,190,2159474440.0386343,1.0,1
1940,400,0490,Oklahoma,Garvin,53,490,2107441439.2792752,400,0490,Oklahoma,Garvin,53,490,2107441439.2792706,1.0,1
1940,400,0670,Oklahoma,Jefferson,53,670,2004858065.0569763,400,0670,Oklahoma,Jefferson,53,670,2004858065.0569754,1.0,1
1940,400,0850,Oklahoma,Love,53,850,1378791343.4218934,400,0850,Oklahoma,Love,53,850,1378791343.4218936,1.0,1
1940,400,0990,Oklahoma,Murray,53,990,1100984804.6944094,400,0990,Oklahoma,Murray,53,990,1100984804.694407,1.0,1
1940,400,1370,Oklahoma,Stephens,53,1370,2308597517.5437636,400,1370,Oklahoma,Stephens,53,1370,2308597517.5437627,1.0,1
1940,470,1710,Tennessee,Unicoi,54,1710,483014969.6842656,470,1710,Tennessee,Unicoi,54,1710,483014969.6842661,1.0,1
1940,470,1790,Tennessee,Washington,54,1790,854165817.891554,470,1790,Tennessee,Washington,54,1790,854165817.8915534,1.0,1
1940,370,0310,North Carolina,Carteret,47,310,1320533028.316929,370,0310,North Carolina,Carteret,47,310,1320533028.3169212,1.0,1
1940,370,1030,North Carolina,Jones,47,1030,1227398784.819211,370,1030,North Carolina,Jones,47,1030,1227398784.8192186,1.0,1
1940,370,1330,North Carolina,Onslow,47,1330,1985345661.524291,370,1330,North Carolina,Onslow,47,1330,1985345661.5243008,1.0,1
1940,270,0190,Minnesota,Carver,33,190,974132972.2190435,270,0190,Minnesota,Carver,33,190,974132972.219041,1.0,1
1940,270,0850,Minnesota,Mcleod,33,850,1309310530.6409442,270,0850,Minnesota,Mcleod,33,850,1309310530.6409428,1.0,1
1940,270,1390,Minnesota,Scott,33,1390,953794363.6691159,270,1390,Minnesota,Scott,33,1390,953794363.6691169,1.0,1
